sentence1,sentence2
"We are not stronger than him ? "" ( 1 Corinthians 10 : 20 - 22 ) .",Are we stronger than he ? ( 1Cor 10:20 - 22 )
Bassianus refused and fled to Ravenna .,Basiano rejected it and traveled to Ravenna .
"As this decision is being appealed by the Sofia CSKA , the Bulgarian Football Federation has not yet announced a replacement .","As this decision was appealed by CSKA Sofia , the Bulgarian Football Union granted a license to them subject to legal proceedings ."
""" Temptations , unlike opportunities , will always give you second chances . ""","temptations , as opposed to opportunities , always gives you a chance to"
Krystal Forscutt is without a doubt one of God 's very best works .,A grilled pork chop is undoubtedly one of God ’s greatest creations .
fifteen . Issues were raised regarding the best way to subject taxation to the rural / agricultural sector and the unstructured sector .,Questions were raised on how best to bring the rural / agricultural and informal sector into the tax net .
""" Ultratop.be – Diana King – Ai n't Nobody "" ( in French ) .",""" Ultratop.be - Diana King - Ai nt Nobody "" ( in French ) ."
"Jorts and trees teach me nothing , but it makes people in a city .","Now the country places and the trees wo n’t teach me anything , and the people in the city do ."
But this vote will have an impact on how the United States views the UN and how we view countries that are disrespectful to us in the UN .,"But this vote will make a difference on how Americans look at the @UN , and on how we look at countries who disrespect us in the UN ."
"He was the only Hmong ethnic group to reach the rank of general officer in the Royal Army of Laos , and was loyal to the King of Laos without ceasing to be a hmong champion .","He was the only ethnic Hmong to attain the rank of General officer in the Royal Lao Army , and he was loyal to the King of Laos while remaining a champion of the Hmong people ."
"Originally the final track of the album would be "" I 'm catching Hell "" ( "" I 'm holding hell "" ) , a song from Cole not very popular during his concerts .","Originally an album track , the album 's closer , "" I 'm Catching Hell "" , nonetheless became a popular Cole song during live concert shows ."
"Many politically correct , in my discretion , have an unconscious notion that if we , who belong to the majority population in Europe , promote our interests , it will go beyond the minorities .","Many politically correct people have to our understanding a subconscious notion that if we , who belong to the majority of the population in Europe , promote our interests it will be to the expense at the minorities ."
In 1847 they traveled to a valley that many explorers felt was uninhabitable .,In 1847 they went to a valley that many explorers meant were completely
"Classes are taught in the target language , and our trainers are prepared to overcome all obstacles , making you speak no less than 50 % of the time .","The classes are taught in the target language , and our trainers are prepared to overcome inhibitions , so you speak at least 50 % of the time ."
"An analysis of current religious and political developments on the basis of biblical texts , claiming that the Papacy , Freemasonry , and the United Nations ( among other institutions ) are anti - Christian oriented organizations .","An analysis of current religious and political developments on the basis of biblical texts , which affirm that the papacy , the Freemasonry and the United Nations ( among other institutions ) are organizations aimed at Christianity ."
But there was one thing that helped Joseph not to be completely crushed by loneliness .,"One thing , though , kept Joseph from being crushed by loneliness ."
"At that time , GuitarFreaks was not very recognized in North America . Redoctane was doing Dance Pads for games such as Dance Dance Revolution for home consoles and also an online rental service similar to Netflix .",RedOctane was making dance pads for games like Dance Dance Revolution for home consoles and also operated an online video rental service similar to Netflix .
"Historia Sin Palabras ( History without words ) , de Frans Masereel .",Histoire Sans Paroles ( Story Without Words ) by Frans Masereel .
"Lecturers , employees and students use e - mail to exchange information , but limitations on file sizes made it impossible to exchange large files .","Lecturers , staff and students were using email to exchange information , but limits on file sizes prohibited them from sharing large files ."
"If further discussion on that item is necessary , it could be scheduled during the second week rather than continuing on the following day .","If the debate should continue , instead of continuing it the next day it could be scheduled for the second week ."
