original_sentence,paraphrased_sentence,perturb_n1,perturb_n2,perturb_n3
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .","brother accused his Amrozi , whom he called "" the witness "" , of deliberately distorting his evidence .","Amrozi accused his brother , whom he called "" the witness evidence , of deliberately . his "" distorting","whom accused his brother , Amrozi deliberately called "" the witness his , of he distorting "" evidence ."
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .","They had published an advertisement on the on Internet June 10 , offering the cargo for sale , he added .","They had published an advertisement on the Internet on , 10 , offering he cargo for sale June the added .","the had published 10 advertisement on They Internet on he an , offering the cargo for sale , June added ."
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,"The stock rose $ about , or 2.11 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .","Friday stock rose 21.51 2.11 , or about 11 percent , to close The at $ $ on the New York Stock Exchange .","21.51 stock rose $ 2.11 , or about New percent , 11 close Friday at $ The on the to York Stock Exchange ."
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",Revenue in the earlier quarter of the year dropped 15 percent from the same period a year first .,the quarter the first in of the year dropped 15 percent from Revenue same period a year earlier .,Revenue in the first quarter of the year dropped 15 percent from a same period the year earlier .
The DVD-CCA then appealed to the state Supreme Court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,The . then appealed to the state Supreme Court DVD-CCA,appealed DVD-CCA to The then the state Supreme Court .,. DVD-CCA then appealed The the state to Court Supreme
But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,But year added group performance would improve in the second half of the he and beyond .,But performance added group he would improve in second the half of the year and beyond .,But group added he performance and improve in the second half of the year beyond would .
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",The told He Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,He told The Sun newspaper that . Hussein 's for had British schools and hospitals in mind when they decided to ask daughters asylum Mr.,British told The Sun decided that Mr. Hussein 's daughters had He schools and hospitals in mind when they for to ask newspaper asylum .
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young of Child , the infertility national support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena a of Child , the national infertility support network , infertility the guidelines would lead to Young more "" fair and equitable "" service for hoped sufferers .","Sheena Young guidelines Child sufferers "" national infertility support network , hoped the of would lead to a more "" fair and equitable the service for infertility , ."
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .","The new Finder puts a user 's folders , hard drive , network servers , iDisk in removable media and one location , providing one-click access .","The new Finder , a user 's folders , hard drive , network servers puts iDisk and removable media location one in , providing one-click access .","The , Finder . a user 's folders , hard drive , network servers new iDisk and removable media in , location one providing one-click access puts"
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .","Republic tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican But , the southeastern Bahamas and the Turk and Caicos islands .","But tropical storm warnings and watches were islands today for Haiti , western portions of the Dominican the , the southeastern Bahamas and Republic Turk and Caicos posted .","But Haiti storm islands and watches were posted Republic for tropical , western portions of the Dominican today , the southeastern Bahamas and the Turk and Caicos warnings ."
