original_sentence,perturb_n1,perturb_n2,perturb_n3
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his prove .","Amrozi accused his brother , whom he called "" the witness "" , of deliberately garble his prove .","Amrozi criminate his brother , whom he call off "" the witness "" , of intentionally distorting his evidence ."
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","They had published an advertisement on the net on June 10 , offering the cargo for sale , he added .","They had published an advertisement on the Internet on June x , provide the cargo for sale , he added .","They had print an advertisement on the cyberspace on June tenner , offering the cargo for sale , he added ."
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .","The stock rose $ 2.11 , or about 11 percent , to shut down Friday at $ 21.51 on the New York Stock Exchange .","The stock rose $ 2.11 , or about 11 per centum , to snug Friday at $ 21.51 on the New York Stock Exchange .","The stock climb up $ 2.11 , or about 11 pct , to close Friday at $ 21.51 on the New york Stock Exchange ."
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,Revenue in the first quarter of the class dropped 15 percent from the same period a class earlier .,Revenue in the first draw and quarter of the year dropped 15 percent from the same menstruum a year earlier .,receipts in the first one fourth of the year cast off 15 percent from the same period a year earlier .
The DVD-CCA then appealed to the state Supreme Court .,The DVD-CCA then appealed to the state department Supreme Court .,The DVD-CCA then attract to the state supreme Court .,The DVD-CCA then invoke to the united states department of state Supreme court .
But he added group performance would improve in the second half of the year and beyond .,But he added group functioning would improve in the second half of the year and beyond .,But he added group performance would meliorate in the second half of the yr and beyond .,But he supply group carrying out would improve in the mo half of the year and beyond .
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,He told The Sun paper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,He told The Sun newspaper that Mr. Hussein 's daughters had british people schools and hospitals in mind when they determine to ask for asylum .,He told The Sun newspaper that Mr. Hussein 's daughter had British schoolhouse and hospitals in mind when they settle to ask for asylum .
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" mediocre and equitable "" service for infertility sufferers .","Sheena Young of nipper , the national infertility support network , trust the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena immature of Child , the national infertility support network , skip the guidelines would lead to a more "" fair and equitable "" table service for infertility sufferers ."
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","The new Finder puts a user 's folders , hard drive , electronic network servers , iDisk and removable media in one location , providing one-click access .","The new Finder puts a user 's brochure , hard drive , network servers , iDisk and removable media in unrivalled location , providing one-click access .","The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in nonpareil localisation , bring home the bacon one-click access ."
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","But tropical storm admonition and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","But tropical storm monition and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the turk and Caicos islands .","But tropical storm warnings and watches were posted now for Haiti , western dower of the black friar Republic , the southeastern Bahamas and the Turk and Caicos islands ."
A federal magistrate in Fort Lauderdale ordered him held without bail .,amp federal magistrate in Fort Lauderdale ordered him held without bail .,A federal magistrate in fortress Lauderdale ordered him held without bond .,A federal magistrate in fort up Lauderdale ordered him prevail without bond .
"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","Six months ago , the IMF and argentine republic struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","Six months agone , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in lordly .","Six months agone , the international monetary fund and Argentina chance on a bare-minimum $ 6.8-billion debt rollover deal that expires in August ."
"Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .","Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously advance them .","Inhibited children tend to be timid with unexampled hoi polloi , objects , and situations , while uninhibited children spontaneously approach them .","subdue children tend to be unsure with new people , objects , and situations , while uninhibited children ad libitum approach them ."
"I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .","I wanted to bring the most beautiful people into the most beautiful building , he said Sunday at heart the Grand Central concourse .","I wanted to institute the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central throng .","I wanted to lend the most beautiful citizenry into the most beautiful building , he said Sunday inside the Grand telephone exchange concourse ."
"Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .","Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $  billion .","Singapore is already the United States ' 12th-largest trading partner , with two-way switch totaling more than $ 34  .","Singapore is already the connect put forward ' 12th-largest trading partner , with two-way barter totaling more than $ 34 billion ."
"The largest gains were seen in prices , new orders , inventories and exports .","The largest gains were seen in prices , modern orders , inventories and exports .","The largest gains were seen in monetary value , newly orders , inventories and exports .","The largest gains were seen in toll , fresh rank , inventories and exports ."
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,Trading in Loral was halted yesterday ; the shares close down on Monday at $ 3.01 .,Trading in Loral was halted yesterday ; the shares close on monday at $ 3.01 .,deal in Loral was halted yesterday ; the percentage close up on Monday at $ 3.01 .
"He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .","He plans to have dinner party with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .","He plans to have dinner with troops at Kosovo 's united states military headquarters , bivouac Bondsteel .","He programme to have dinner with troops at kosovo 's U.S. military headquarters , ingroup Bondsteel ."
Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,retail merchant J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . iraqi national congress . ( JCP ) and Walgreen Co . ( wit ) kick things off on Monday .,Retailers J.C. Penney Co . inc . ( JCP ) and Walgreen Co . ( WAG ) bitch things off on mon .
Prosecutors filed a motion informing Lee they intend to seek the death penalty .,public prosecutor filed a motion informing Lee they intend to seek the death penalty .,Prosecutors charge a motion inform Lee they intend to seek the death penalty .,prosecuting officer charge a motion informing Lee they intend to seek the demise penalty .
"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","Last year the court upheld Cleveland 's school voucher political platform , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","Last year the court upheld president cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schooling .","Last year the court preserve Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they leave raise a choice of religious and secular schools ."
"Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .","Sorkin , who faces bearing of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .","Sorkin , who faces cathexis of conspiracy to obstruct justness and lying to a grand jury , was to have been tried separately .","Sorkin , who faces charges of conspiracy to obstruct justice and lying to a marvellous panel , was to have been tried on an individual basis ."
"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The US micro chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The US cow chip market is look to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The united states of america chip off market is expected to worsen 2.1 percent this year , then grow 15.7 percent in 2004 ."
"The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .","The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , ellas and Pakistan .","The group will be headed by State section official John S. Wolf , who has served in Australia , viet nam , Greece and Pakistan .","The group will be point by State Department official John S. Wolf , who has served in Australia , viet nam , greece and Pakistan ."
The company has said it plans to restate its earnings for 2000 through 2002 .,The accompany has said it plans to restate its earnings for 2000 through 2002 .,The society has said it plans to restate its garner for 2000 through 2002 .,The keep company has said it plans to repeat its net profit for 2000 through 2002 .
Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,Results from No.  U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,Results from No. 2 united states government soft drink maker PepsiCo inc . PEP.N were likely to be in the spotlight .,Results from No. two U.S. soft drink manufacturing business PepsiCo Inc . PEP.N were probable to be in the spotlight .
""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """,""" The result is an overall packet that will provide significant economic growth for our employees over the next four years . """,""" The result is an boilers suit package that will provide significant economic growth for our employee over the next four years . """,""" The result is an boilersuit computer software that will provide significant economic growth for our employees over the next quadruplet years . """
"The songs are on offer for 99 cents each , or $ 9.99 for an album .","The song dynasty are on offer for 99 cents each , or $ 9.99 for an album .","The songs are on go for 99 cents each , or $ 9.99 for an record album .","The songs are on offer for  centime each , or $ 9.99 for an record album ."
