original_sentence,perturb_n1,perturb_n2,perturb_n3
William died in 1859 and Elizabeth died the following year .,William expire in 1859 and Elizabeth expire the following year .,William died in 1859 and elizabeth died the following yr .,William snuff it in 1859 and elizabeth i snuff it the come after year .
The leaves are generally 1.5-4 mm wide and 0.2-0.7 mm long .,The leaves are generally 1.5-4 mm panoptic and 0.2-0.7 mm long .,The leaves are broadly 1.5-4 mm wide and 0.2-0.7 mm retentive .,The depart are generally 1.5-4 millimetre wide and 0.2-0.7 millimetre prospicient .
Drummer Wayne Bennett left the band in June 2007 and was replaced by Ben Timony .,Drummer Wayne Bennett left the band in June 2007 and was replaced by ben Timony .,Drummer duke wayne Bennett left the band in June 2007 and was replaced by ben Timony .,Drummer anthony wayne Bennett go away the band in june 2007 and was replaced by Ben Timony .
Their skin also secretes chemicals that are poisonous and sometimes harmful to predators .,Their skin also secretes chemicals that are venomous and sometimes harmful to predators .,Their skin besides secretes chemicals that are toxicant and sometimes harmful to predators .,Their skin also release chemicals that are venomous and sometimes harmful to predator .
"When the Florentine Republic fell in 1530 , Volterra came under the control of the Medici family and later followed the history of the Grand Duchy of Tuscany .","When the Florentine Republic fall down in 1530 , Volterra came under the control of the Medici family and later followed the history of the Grand Duchy of Tuscany .","When the Florentine democracy fell in 1530 , Volterra came under the control of the Medici family and later followed the history of the Grand Duchy of tuscany .","When the Florentine commonwealth fell in 1530 , Volterra came under the control of the Medici family and later followed the account of the Grand dukedom of Tuscany ."
"It is limited by North Dakota . The nearest American community is Gretna , Neche , Pembina County , North Dakota .","It is limited by magnetic north Dakota . The nearest American community is Gretna , Neche , Pembina County , magnetic north Dakota .","it is limited by North Dakota . The nearest American community of interests is Gretna , Neche , Pembina County , North Dakota .","It is limited by compass north dakota . The nearest American community is Gretna , Neche , Pembina county , compass north dakota ."
The mountain railway of Taiping was commissioned in 1920 and connected to the Luodong forest railway in 1924 .,The flock railway of Taiping was commissioned in 1920 and connected to the Luodong forest railway in 1924 .,The passel railway of Taiping was licenced in 1920 and connected to the Luodong forest railway in 1924 .,The mint railway of Taiping was licensed in 1920 and connected to the Luodong wood railway in 1924 .
"Justice Felix Reginald Dias Bandaranaike II ( January 17 , 1891 -- October 26 , 1951 ) was a Ceylonese ( Sri Lankan ) judge and lawyer .","Justice Felix Reginald Dias Bandaranaike II ( January 17 , 1891 -- october 26 , 1951 ) was a Ceylonese ( Sri Lankan ) judge and lawyer .","Justice Felix Reginald defense intelligence agency Bandaranaike II ( January 17 , 1891 -- oct 26 , 1951 ) was a Ceylonese ( Sri Lankan ) judge and lawyer .","justness Felix Reginald Dias Bandaranaike ii ( jan 17 , 1891 -- October 26 , 1951 ) was a Ceylonese ( Sri Lankan ) judge and lawyer ."
"With the restoration of the monarchy and the final departure of Napoleon in 1815 , the military scene in Vietnam quieted and French interest in Europe was revived .","With the return of the monarchy and the final departure of Napoleon in 1815 , the military scene in Vietnam quieted and French interest in Europe was revived .","With the restoration of the monarchy and the final exit of Napoleon in 1815 , the armed forces scene in Vietnam quieted and French interest in Europe was revived .","With the return of the monarchy and the final departure of napoleon i in 1815 , the military scene in Vietnam quiet down and French interest in Europe was revived ."
"He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen 's , and Factories .","He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , magnetic north Branch , Otisville , Stephen 's , and Factories .","He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , union Branch , Otisville , stephen 's , and Factories .","he prophesy in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen 's , and mill ."
"Griese was temporarily injured in the season , however , and later relieved of Grossman .","Griese was temporarily injured in the season , even so , and later relieved of Grossman .","Griese was temporarily injured in the season , however , and subsequently free of Grossman .","Griese was temporarily bruise in the season , withal , and later unbosom of Grossman ."
"The Athelas Sinfonietta Copenhagen is a Copenhagen-based , Danish chamber ensemble specializing in performing modern compositions .","The Athelas Sinfonietta Copenhagen is a Copenhagen-based , Danish chamber ensemble specializing in acting modern compositions .","The Athelas Sinfonietta Copenhagen is a Copenhagen-based , Danish chamber tout ensemble specializing in performing modern paper .","The Athelas Sinfonietta Copenhagen is a Copenhagen-based , Danish sleeping accommodation tout ensemble specialize in performing modern compositions ."
"1 was written by Ryan Sohmer , drawn by Lar deSouza and colored by Marc Brunet .","1 was written by Ryan Sohmer , drawn by Lar deSouza and colorize by Marc Brunet .","unity was written by Ryan Sohmer , drawn by Lar deSouza and colored by marc Brunet .","ane was compose by Ryan Sohmer , drawn by Lar deSouza and colored by Marc brunette ."
"Major greyhound racing venues include Wentworth Park in Sydney , Cannington Raceway in Perth , Greyhound Park in Adelaide , Albion Park in Brisbane and Sandown Greyhounds in Melbourne .","Major greyhound racing venues include Wentworth Park in Sydney , Cannington Raceway in Perth , Greyhound Park in Adelaide , Albion Park in Brisbane and Sandown Greyhounds in melbourne .","Major greyhound racing venues include Wentworth Park in Sydney , Cannington Raceway in Perth , Greyhound Park in adelaide , Albion Park in Brisbane and Sandown greyhound in Melbourne .","Major greyhound cannonball along venues let in Wentworth Park in sydney , Cannington Raceway in Perth , Greyhound Park in Adelaide , Albion Park in Brisbane and Sandown Greyhounds in Melbourne ."
"It was obtained from parts of Assiniboia , Humboldt - Lake Centre and Moose Jaw Ridings in 1987 .","It was obtained from parts of Assiniboia , Humboldt - Lake Centre and Moose Jaw mount in 1987 .","It was obtained from parts of Assiniboia , Humboldt - lake eye and Moose Jaw Ridings in 1987 .","It was receive from parts of Assiniboia , Humboldt - lake center and Moose Jaw Ridings in 1987 ."
"The novel was adapted as a BBC Radio 4 Book at Bedtime by Lu Kemp in 2008 , read by Toby Stephens and produced by Kirsty Williams .","The novel was adapted as a BBC Radio 4 Book at Bedtime by Lu Kemp in 2008 , read by Toby Stephens and produced by Kirsty sir bernard williams .","The new was adapted as a BBC Radio 4 Book at Bedtime by Lu Kemp in 2008 , read by Toby stephen and produced by Kirsty Williams .","The novel was adapted as a BBC Radio 4 Book at Bedtime by lutecium Kemp in 2008 , read by Toby sir leslie stephen and give rise by Kirsty Williams ."
